code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,KDJ,BIGVOLUME
300562,N乐心,医疗保健,广东,17.5,1480.0,5900.0,42264.53,29384.44,0.0,0.0,0.0,0.965,6.18,3.64,20161116,0,0
601229,N上银,银行,上海,10.56,60045.0,600445.0,165092416.0,0.0,390415.59,2039269.75,3.4,1.817,19.13,1.34,20161116,0,0
002102,冠福股份,化学制药,福建,86.57,120763.84,218618.27,479189.0,108554.88,50233.96,22413.73,0.1,0.056,1.38,4.65,20061229,0,0
603300,华铁科技,钢加工,浙江,126.76,27811.4,40534.0,419464.84,158638.7,85157.24,34598.4,0.85,0.086,2.72,5.36,20150529,-100,-100
300277,海联讯,软件服务,深圳,0.0,33425.0,33500.0,65476.16,48022.8,10656.98,8288.05,0.25,-0.054,1.33,11.51,20111123,1,0
002098,浔兴股份,服饰,福建,52.51,31000.0,35800.0,149172.13,67436.9,53333.03,30951.34,0.86,0.241,3.07,5.5,20061222,0,0
002139,拓邦股份,元器件,深圳,50.94,28704.28,45228.0,254628.95,160058.52,36338.9,95819.43,2.12,0.26,3.67,4.3,20070629,0,0
300019,硅宝科技,化工原料,四川,59.7,21721.02,33090.19,93962.84,46193.35,19243.2,4308.16,0.13,0.204,2.11,7.69,20091030,0,0
600626,申达股份,纺织,上海,45.46,71024.28,71024.28,519203.59,297491.88,109577.27,14215.2,0.2,0.215,3.4,3.84,19930107,0,0
002040,南 京 港,港口,江苏,158.25,24587.19,24587.19,106676.6,13183.54,33265.55,20872.77,0.85,0.086,2.8,6.51,20050325,0,0
002564,天沃科技,化工机械,江苏,0.0,52197.1,73971.2,665665.19,407869.44,190213.06,142869.5,1.93,-0.075,3.69,2.83,20110310,1,0
300556,丝路视觉,软件服务,深圳,122.73,2780.0,11113.33,44482.48,37599.78,2426.98,9697.51,0.87,0.105,3.37,5.08,20161104,0,0
300386,飞天诚信,软件服务,北京,184.5,15573.37,41804.39,169855.91,157029.81,3535.41,36365.85,0.87,0.125,3.6,8.52,20140626,0,0
002669,康达新材,化工原料,上海,63.0,15713.83,20000.0,95836.03,59166.4,23296.32,22952.78,1.15,0.336,3.83,7.37,20120416,0,0
002712,思美传媒,广告包装,浙江,78.36,8935.74,28608.57,258987.05,178002.73,624.08,65227.85,2.28,0.36,5.05,7.29,20140123,0,0
300293,蓝英装备,专用机械,辽宁,2497.02,26813.14,27000.0,87579.86,63344.23,15553.55,15907.65,0.59,0.005,2.4,7.37,20120308,0,0
603060,国检集团,建筑施工,北京,45.23,5500.0,22000.0,76181.61,28858.69,22803.7,0.0,0.0,0.386,2.36,9.86,20161109,0,0
300052,中青宝,互联网,深圳,588.05,26028.05,26103.85,116592.26,32600.75,2039.85,59130.61,2.27,0.032,3.85,6.57,20100211,0,1
002816,和科达,专用机械,深圳,211.45,2500.0,10000.0,48635.26,41085.73,4386.7,5612.68,0.56,0.195,4.37,12.55,20161025,0,0
603203,快克股份,专用机械,江苏,42.18,2300.0,9200.0,31503.91,24610.15,3820.6,5890.22,0.64,0.749,3.53,11.93,20161108,0,0
600822,上海物贸,商贸代理,上海,382.03,39614.78,49597.28,212945.88,139418.73,39753.23,168019.7,3.39,0.033,1.07,16.0,19940204,0,0
002718,友邦吊顶,家居用品,浙江,69.17,2096.0,8763.19,109148.61,88527.46,8557.92,45059.78,5.14,1.01,11.33,7.84,20140128,1,0
002569,步森股份,服饰,浙江,0.0,13749.57,14001.0,64842.11,50837.35,9910.32,31881.38,2.28,-0.199,3.5,15.12,20110412,0,1
